taxonomy_level_1,taxonomy_level_2,taxonomy_code,description,keywords,supplier_keywords,exclude_keywords
IT,Cloud Infrastructure,IT-CLD,Cloud hosting compute and infrastructure,cloud;cloud hosting;hosting;compute;server;ec2;storage;data center,aws;amazon web services;azure;google cloud;gcp,event;conference;sponsorship
IT,Software,IT-SW,Software subscriptions licenses and SaaS,software;license;subscription;saas;platform;application;maintenance renewal,salesforce;adobe;servicenow;oracle;sap,
IT,Hardware,IT-HW,Computers servers peripherals and hardware,laptop;desktop;monitor;server;printer;dock;docking station;hardware,dell;hp;lenovo;cisco,
IT,Telecom,IT-TEL,Telecommunications network and connectivity,telecom;wireless;mobile;internet;network;circuit,at&t;verizon;t-mobile;comcast,
Logistics,Freight & Parcel,LOG-FRT,Freight parcel courier and shipment services,freight;parcel;shipping;shipment;courier;transportation;international shipment,dhl;fedex;ups,
Logistics,Warehousing,LOG-WHS,Warehouse storage and fulfillment services,warehouse;warehousing;storage;fulfillment;distribution,,
Logistics,Last Mile Delivery,LOG-LMD,Last mile and local delivery services,last mile;local delivery;route delivery;final mile,,
Facilities,Janitorial,FAC-JAN,Janitorial cleaning and sanitation services,janitorial;cleaning;sanitation;custodial;waste,abm;jan-pro,
Facilities,Maintenance,FAC-MNT,Facility maintenance repair and operations,maintenance;repair;hvac;plumbing;electrical;facility,,
Facilities,Security,FAC-SEC,Security guard and monitoring services,security;guard;monitoring;surveillance;access control,,
Office,Office Supplies,OFF-SUP,Office consumables and stationery,office supplies;paper;toner;ink;stationery;copy paper,staples;office depot,
Office,Furniture,OFF-FUR,Office furniture and fixtures,furniture;desk;chair;office chair;cubicle;fixture,herman miller;steelcase,
Professional Services,Consulting,PRO-CNS,Consulting advisory and professional services,consulting;advisor;strategy;professional services,mckinsey;bain;deloitte;accenture,
Professional Services,Legal,PRO-LGL,Legal services and outside counsel,legal;counsel;attorney;law firm;contract review,,
Professional Services,Accounting,PRO-ACC,Accounting tax and audit services,accounting;audit;tax;bookkeeping,,
Marketing,Advertising,MKT-ADV,Advertising media and digital marketing,advertising;ads;media buying;campaign;paid search,google ads;meta,
Marketing,Events,MKT-EVT,Events conferences and trade shows,event;conference;trade show;sponsorship;booth,,
Marketing,Creative Services,MKT-CRT,Creative design and content services,creative;design;branding;content;agency,,
Packaging,Corrugated Packaging,PKG-COR,Corrugated boxes cartons and packaging,box;boxes;carton;corrugated;packaging,,
Packaging,Labels,PKG-LBL,Labels tags and labeling supplies,label;labels;tag;barcode label,,
Packaging,Pallets,PKG-PAL,Pallets crates and load handling,pallet;pallets;crate;skid,,
MRO / Industrial Supplies,Industrial Supplies,MRO-SUP,Maintenance repair and operating supplies,mro;industrial supplies;tools;fasteners;ppe;lubricant,grainger;msc;fastenal,
Travel,Air Travel,TRV-AIR,Airline and flight travel,flight;airfare;airline;air travel,delta;united;american airlines,
Travel,Hotel & Lodging,TRV-HOT,Hotels lodging and accommodation,hotel;lodging;accommodation;room,marriott;hilton;hyatt,
HR Services,Recruiting,HR-REC,Recruiting staffing and talent acquisition,recruiting;staffing;recruiter;talent acquisition,robert half;randstad,
HR Services,Training,HR-TRN,Training learning and development services,training;learning;course;certification;workshop,,
