supplier_id,supplier_name,category,region,annual_spend,prior_year_spend,on_time_delivery_pct,prior_year_otd_pct,defect_rate_pct,prior_year_defect_rate_pct,lead_time_days,contract_status,supplier_criticality
SUP-0001,Apex Solutions 001,Marketing,North America,472588.46,662083.26,97.7,98.7,1.2,0.1,17,Active,Low
SUP-0002,BlueRiver Industries 002,Professional Services,Latin America,190431.64,174862.06,93.3,86.2,1.7,2.9,17,Under Review,Low
SUP-0003,Global Systems LLC,Maintenance,Latin America,138879.95,103570.41,90.2,92.3,0.7,0.8,17,Active,Medium
SUP-0004,Pioneer Packaging Group,Packaging,North America,1100000.0,76637.0,97.0,86.0,1.1,4.5,15,Active,High
SUP-0005,Evergreen Partners 005,IT Services,Asia Pacific,30494.97,25723.54,100.0,100.0,0.7,0.8,47,Active,Low
SUP-0006,"GLOBAL SYSTEMS, L.L.C.",Temporary Labor,Asia Pacific,100076.69,103079.88,100.0,100.0,2.6,3.0,27,Active,Low
SUP-0007,Global Enterprises 007,Marketing,North America,154232.65,151362.57,91.4,88.9,3.9,3.7,33,Active,Medium
SUP-0008,Horizon Technologies 008,Marketing,Latin America,953533.57,1134513.06,92.0,94.1,2.8,4.0,19,Active,Low
SUP-0009,Global System LLC,Logistics,Latin America,4200000.0,3900000.0,81.0,94.0,4.8,2.1,22,Active,High
SUP-0010,Keystone Holdings 010,Professional Services,Asia Pacific,434842.65,344018.9,85.9,87.7,1.8,2.7,17,Active,Low
SUP-0011,Metro Facility Services,Facilities,Asia Pacific,1750000.0,87044.89,88.0,91.0,7.2,2.4,2,Active,High
SUP-0012,Metro Industries 012,Temporary Labor,Europe,49764.45,37087.39,90.8,93.0,5.0,5.0,10,Active,Medium
SUP-0013,NorthStar Group 013,Office Supplies,Latin America,61999.6,49921.81,,,2.0,1.2,6,Active,High
SUP-0014,Optima Services 014,Maintenance,Europe,78808.33,71060.23,86.0,86.9,1.7,2.0,2,Expired,Medium
SUP-0015,Pioneer Partners 015,Professional Services,Latin America,1367465.7,1017529.09,81.5,75.8,0.6,1.8,12,Active,Medium
SUP-0016,Apex Systems 016,Facilities,North America,71583.03,64546.28,78.6,80.3,1.7,1.7,37,Expired,High
SUP-0017,BlueRiver Enterprises 017,Office Supplies,North America,90000.0,319269.37,84.3,81.1,1.6,1.4,24,Active,Medium
SUP-0018,ClearPoint Technologies 018,IT Services,Latin America,65977.75,67557.43,88.2,83.1,5.2,4.3,37,Under Review,Medium
SUP-0019,Delta Supply 019,Maintenance,Europe,413152.9,396508.18,89.2,92.1,1.7,1.5,28,Active,High
SUP-0020,Evergreen Holdings 020,Office Supplies,Europe,90000.0,264438.52,100.0,100.0,1.7,0.5,32,No Contract,Low
SUP-0021,Fusion Solutions 021,Marketing,Latin America,139157.56,115184.73,97.6,95.2,0.6,0.0,15,Active,Medium
SUP-0022,Global Industries 022,Facilities,North America,156253.89,191041.53,85.2,91.0,,,29,Active,Medium
SUP-0023,Horizon Group 023,Temporary Labor,Asia Pacific,84559.64,72222.39,93.1,91.3,2.4,3.5,31,No Contract,Low
SUP-0024,Ironwood Services 024,Maintenance,Europe,254249.72,255352.12,88.6,88.7,0.3,2.5,18,Expired,Medium
SUP-0025,Keystone Partners 025,Marketing,North America,103261.15,83219.79,89.3,90.4,3.3,2.8,30,No Contract,Low
SUP-0026,Lighthouse Systems 026,Logistics,Latin America,47781.52,41008.67,92.1,89.6,3.4,4.5,30,Active,Low
SUP-0027,Metro Enterprises 027,Professional Services,North America,45345.33,33398.23,94.7,96.6,0.8,1.0,19,Expired,Medium
SUP-0028,NorthStar Technologies 028,IT Services,North America,193413.94,166515.17,89.0,86.8,2.2,2.0,13,No Contract,Low
SUP-0029,Optima Supply 029,Logistics,Asia Pacific,789449.59,1056780.42,97.4,95.7,3.9,4.3,12,Expired,Medium
